word,count
,6
dost,1
Th’,1
taste,1
transgress,1
infernal,1
blissful,1
guile,1
above,1
Eternal,1
state,1
height,1
thee,1
Sinai,1
Providence,1
mankind,1
th’,2
Things,1
them,1
whose,3
mount,1
restraint,1
glory,1
seat,1
himself,1
lords,1
Muse,1
Paradise,1
flight,1
seed,1
I,3
Invoke,1
O,1
The,1
into,1
how,1
by,2
Man’s,1
so,1
Fast,1
God,3
Against,1
middle,1
set,1
forbidden,1
one,2
Had,1
the,16
hill,1
Stirred,1
taught,1
inspire,1
flowed,1
regain,1
to,7
vast,1
aspiring,1
till,1
thy,2
Sing,1
besides.,1
Creator,1
woe,1
support;,1
mother,1
didst,1
view,1
hides,1
up,1
To,1
us,1
Heaven,3
monarchy,1
oracle,1
this,1
For,1
Favoured,1
upright,1
Nor,1
Delight,1
first—for,1
Above,1
deep,1
beginning,1
outspread,1
for,1
throne,1
Hell—say,1
pure,1
Restore,1
With,1
deceived,1
sat’st,1
heavens,1
know’st;,1
mortal,1
Wast,1
Moved,1
thence,1
Chaos:,1
was,1
yet,1
chiefly,1
grand,1
equalled,1
with,5
Sion,1
what,4
disobedience,1
time,1
he,2
envy,1
rebel,1
adventurous,1
happy,1
peers,1
foul,1
loss,1
cast,1
Book,1
justify,1
mad’st,1
Illumine,1
greater,1
if,1
He,1
Dove-like,1
song,1
in,4
temples,1
nothing,1
is,2
it,3
men.,1
pride,1
mighty,1
Man,1
aid,2
If,1
brooding,1
aim,1
In,1
Rose,1
secret,1
Aonian,1
our,2
out,2
ways,1
top,1
fall,1
low,1
Heavenly,1
assert,1
unattempted,1
dark,1
have,1
Serpent;,1
Lost,1
may,1
more,1
thou,3
great,1
off,1
trusted,1
wings,1
Siloa’s,1
Abyss,1
first,5
argument,1
seduced,1
prefer,1
Most,1
Eden,1
World,2
while,1
him,1
that,6
his,4
ambitious,1
me,2
raise,1
host,1
revolt?,1
from,3
Angels,1
Who,1
all,3
brook,1
Instruct,1
tree,1
Brought,1
my,1
heart,1
chosen,1
And,3
soar,1
present,1
who,1
parents,1
pursues,1
Before,1
no,1
tract,1
death,1
Oreb,1
fruit,1
rhyme.,1
cause,1
their,1
Say,1
shepherd,1
intends,1
and,12
of,11
on,2
highly,1
That,3
prose,1
High,1
opposed,1
or,3
revenge,1
will,1
From,1
Spirit,1
Of,4
earth,1
pregnant:,1
